Cust_Chn_Nm	UNT_NAM	Trx_Amt
北京中和黄埔教育科技有限公司	闽侯县博飞信息科技有限公司	-39696.00
南京力方网络科技有限公司	腾翼信息技术股份有限公司	-200000.00
深圳英派科特广告传媒有限公司	郑州时空隧道信息技术有限公司	20000.00
南京江宁君轩堂中医医院有限公司	南京迈特望科技股份有限公司	80000.00
上海聚杰网络科技有限公司	江苏小旗欧飞科技有限公司	-50000.00
南昌海跃科技有限公司	达明科技有限公司	491209.00
东莞市荣森塑胶原料有限公司	深圳市倍泰健康测量分析技术有限公司	1303200.00
东莞市安高利新能源设备有限公司	佛山市华鸿铜管有限公司	-6503.00
安徽冠盛蓝玻实业有限公司	广东冠东石化产品交易中心有限公司	-33150.00
江阴市澄清环保科技有限公司	无锡西城特种船用板有限公司	210000.00
成都市高新区英之辅英语培训学校有限公司	诺亚正行基金销售有限公司基金代销专户	-1000000.00
徐州艾达尔人力资源有限公司	申通快递有限公司	56549.61
上海创神网络科技有限公司	郑州时空隧道信息技术有限公司	10000.00
杭州禾康包装材料有限公司郑州分公司	郑州顶益食品有限公司	6537805.47
数字广东网络建设有限公司	广东南油对外服务有限公司	-255181.48
博天环境集团股份有限公司湖北分公司	博天环境集团股份有限公司	13145.11
上海萌扬文化有限公司	上海奔越广告有限公司	218870.00
华润置地开发(北京)有限公司	北京摩诘创新科技股份有限公司	21246.30
日邮汽车物流（中国）有限公司上海分公司	上海日邮汽车运输有限公司	-7000.00
吉林省堃喆塑业有限公司	安徽三建工程有限公司	66386.00
上海灵猴智能科技有限公司	马鞍山前港商务管理有限公司	-124807.27
招商银行股份有限公司宁波分行	深圳市新纶科技股份有限公司	-99900.00
贵阳申运易通商贸有限公司	申通快递有限公司	4000.00
泰康资产管理有限责任公司	诺亚正行基金销售有限公司基金代销专户	4994.01
广州市邑城贸易有限公司	广州南科创贸易有限公司	1127672.00
万宠诺信（天津）科技有限公司	申通快递有限公司	-29000.00
武汉传茂社化工有限公司	长江存储科技有限责任公司	6457.14
长煦信息技术咨询（上海）有限公司	长江存储科技有限责任公司	822164.01
华为软件技术有限公司	郑州时空隧道信息技术有限公司	50000.00
河北美嘉信息科技有限公司	深圳硕软技术有限公司	-2000.00
四川中天浩会计师事务所有限公司	广东南油对外服务有限公司	-35212.30
深圳市云充吧科技有限公司	深圳市云充吧科技有限公司	14000.00
上海喵果信息技术有限公司	深圳市稳速网络科技有限公司	-58000.00
腾讯科技（北京）有限公司	北京希格玛物业管理有限责任公司	-1761039.20
友成融资租赁有限公司	上海复出劳务管理有限公司	-98225.50
快云信息科技有限公司	郑州市景安网络科技股份有限公司	5000.00
深圳市邦维装饰工程有限公司	深圳市新纶科技股份有限公司	170500.00
河南德茗投资有限公司	河南世纪联华超市有限公司	1589728.92
顺丰控股集团财务有限公司	甘肃安兴商务服务有限公司	-110848.44
天津云鸟科技有限公司	驿路星辰（北京）科技有限公司	-1000000.00
靖江市城乡建设有限公司	苏州信托有限公司	-166261.89
北京捷睿罗科技有限公司	北京摩诘创新科技股份有限公司	1776000.00
武汉福禄网络科技有限公司	江苏小旗欧飞科技有限公司	-50000.00
成都市金牛区英之辅英语培训学校有限公司	诺亚正行基金销售有限公司基金代销专户	-1000000.00
北京国际信托有限公司	苏州信托有限公司	7116793.14
大广（中国）广告有限公司广州分公司	广东南油对外服务有限公司	-2100.00
深圳市维也纳国际酒店管理有限公司	湖北嘉维酒店管理有限公司	90837.23
上海萌扬文化艺术经纪有限公司	上海奔越广告有限公司	218870.00
陕西唐元物流运输管理有限公司	申通快递有限公司	10000.00
日电贸（苏州）贸易有限公司	江苏宏微科技股份有限公司	10052.00
深圳市泛亚人力资源股份有限公司	深圳海外装饰工程有限公司	46219.04
成都军通通信股份有限公司	成都军通通信股份有限公司	-520000.00
广州俊彦科技有限公司	广州南科创贸易有限公司	300000.00
深圳汇安消防设施工程有限公司	深圳长城家俱装饰工程有限公司	35600.00
上海博加信息科技股份有限公司	福建一滴水供应链管理有限公司	-595631.00
神州黑马（北京）通信技术有限公司	纳什凯旋科技（北京）有限公司	6000.00
北京京巴物流有限公司	申通快递有限公司	-10000.00
招商银行股份有限公司六安分行	深圳市新纶科技股份有限公司	-19500.00
天津市鸟金蛋科技有限公司	驿路星辰（北京）科技有限公司	270.00
苏州聚申百味电子商务有限公司	申通快递有限公司	-75000.00
长盛基金管理有限公司	诺亚正行基金销售有限公司基金代销专户	-56206.50
湖北众城行商业服务有限公司	武汉三江进出口有限公司	-100000.00
上海创蓝文化传播有限公司	杭州手拉手电子商务有限公司	7000.00
北京鑫莱百世货物运输有限公司	申通快递有限公司	20000.00
杭州万桐图文设计有限公司	浙江中通文博服务有限公司	167.00
深圳市康铨机电有限公司	东莞宇龙通信科技有限公司	890000.00
哈尔滨语诺货运代理有限公司	申通快递有限公司	-6000.00
陕西轩铭实业有限责任公司	陕西建工第三建设集团有限公司	3185.00
招商银行股份有限公司北京分行	深圳市新纶科技股份有限公司	-750.00
大华建设项目管理有限公司甘肃分公司	陕西建工第三建设集团有限公司	50000.00
北京冠邦物流有限公司	申通快递有限公司	10000.00
湖南破壳电子商务有限公司	湖南四季南山营养食品有限公司	-270734.70
杭州申通西部快递有限公司	申通快递有限公司	-32000.00
天津顶益食品有限公司	郑州顶益食品有限公司	-21825179.54
深圳市赢时通汽车服务有限公司东莞分公司	深圳市赢时通汽车服务有限公司	18.70
河南世联精工房地产营销策划有限公司	郑州世联兴业房地产咨询有限公司	-61948.83
北京鹏巽机械科技有限公司	北京摩诘创新科技股份有限公司	78850.00
广州易品臻善餐饮管理有限公司上海分公司	广东南油对外服务有限公司	-186457.65
广东凯捷商业数据处理服务有限公司	广东南油对外服务有限公司	-56173.66
上海沃金天然气利用有限公司	天海融合防务装备技术股份有限公司	-4500000.00
泸州中颐农业有限公司	重庆市中颐养老产业有限责任公司	310000.00
广州博冠信息科技有限公司	广东南油对外服务有限公司	-757876.99
北京禹腾科技有限公司	北京圣商教育科技股份有限公司	500.00
深圳市梦天游网络技术有限公司	江苏小旗欧飞科技有限公司	-30000.00
南京瀚柏瑞宸健康管理有限公司	福建一滴水供应链管理有限公司	-3000000.00
武汉霖丰快递有限公司	申通快递有限公司	30000.00
北京云创慧科科技有限公司	北京利通汽车咨询服务有限公司	113000.00
中国广视索福瑞媒介研究有限责任公司	郑州电视台	300000.00
宜兴市金宇冶金电炉设备有限公司	无锡西城特种船用板有限公司	37800.00
日照市岚山区创秋木业有限公司	江苏省建工集团有限公司	50000.00
浙江菜鸟供应链管理有限公司	申通快递有限公司	-975000.00
中通服咨询设计研究院有限公司	南京迈特望科技股份有限公司	300.00
杭州向上电子商务有限公司	江苏小旗欧飞科技有限公司	-1000.00
成都阿齐拉教育科技有限公司	四川东方雨虹防水工程有限公司	72500.00
北京秋胜华物流有限公司	申通快递有限公司	30000.00
北京中洲光华物业管理有限公司	纳什凯旋科技（北京）有限公司	23133.27
北京宇虹荣鑫科技有限责任公司	北京希格玛物业管理有限责任公司	-4.56
四川省外国企业服务有限责任公司	广东南油对外服务有限公司	299736.81
大连中亿通船舶工程有限公司	大连船舶重工集团海洋工程有限公司	368701.54
富士施乐融资租赁（中国）有限公司	湖北长源房地产开发有限责任公司	1825.38
中化石油广东有限公司	广东南油对外服务有限公司	-62380.00
深圳市捷洋服饰有限公司	世纪金花股份有限公司	10753.53
量子出行（广州）科技有限公司	闽侯县博飞信息科技有限公司	-10700.00
甄之贸易（上海）有限公司	世纪金花股份有限公司	8894.71
深圳市赢时通汽车服务有限公司广州分公司	深圳市赢时通汽车服务有限公司	-61000.00
深圳忆联信息系统有限公司	长江存储科技有限责任公司	-116215.57
天弘创新资产管理有限公司	丹东银行股份有限公司	50000000.00
昆山红璞公寓管理有限公司	浙江中通文博服务有限公司	9900.00
华润置地（成都）物业服务有限公司重庆分公司	重庆比格唐贸易股份有限公司	3621.10
长沙顶益食品有限公司	郑州顶益食品有限公司	-14965.18
浙江聚合汇付信息科技有限公司	江苏小旗欧飞科技有限公司	-20000.00
爱康健康科技集团有限公司	爱康国宾健康体检管理集团有限公司	-182400.00
上海华测品标检测技术有限公司	昌硕科技（上海）有限公司	4800.00
南京颐养天信息科技有限公司	南京迈特望科技股份有限公司	-9500000.00
美埃（中国）环境科技股份有限公司	深圳市天道医药有限公司	3380.00
珠海集思信息技术有限公司	福建一滴水供应链管理有限公司	-23000.00
润塑（福建）科技有限公司	群星进出口有限公司	-168934.00
鲁证期货股份有限公司	鲁证期货股份有限公司	-51400000.00
汤臣倍健股份有限公司	广东南油对外服务有限公司	-27063.39
亚太建设科技信息研究院有限公司	安徽四建控股集团有限公司	1500.00
石家庄达安建筑机械设备租赁有限公司	江苏省建工集团有限公司	200000.00
深圳中天精装股份有限公司	青岛龙湖置业拓展有限公司	-50000.00
北京顺东通达物流有限公司	申通快递有限公司	30000.00
西马克工程（中国）有限公司	上海复出劳务管理有限公司	-9771.70
天津市远鸿机械设备租赁有限公司	天津第三市政公路工程有限公司	-40500.00
斯林姆（北京）国际教育咨询有限公司	郑州新东方培训学校	4660.00
亿祺创新（北京）科技有限公司	郑州新东方培训学校	16000.00
淮南众星网络科技有限公司	郑州时空隧道信息技术有限公司	15176.71
南京伟思医疗科技股份有限公司	湖北嘉维酒店管理有限公司	-12896.00
北京慧谷阳光保洁服务有限公司	纳什凯旋科技（北京）有限公司	9400.00
前锦网络信息技术（上海）有限公司	广东南油对外服务有限公司	-261.20
陕西新兴众海建设工程有限公司	陕西建工第三建设集团有限公司	-100000.00
紫金财产保险股份有限公司	苏州信托有限公司	-1800.00
深圳小鸡鸡餐饮服务有限公司	深圳市金瑞格融资担保有限公司	-9600.00
台州市飞龙山庄建设开发有限公司	浙江中通文博服务有限公司	-500.00
无锡衣锦繁华电子商务有限公司	浙江朵宝网络科技有限公司	7247.00
四川乐彩科技有限公司	深圳硕软技术有限公司	-54000.00
唯品会（沈阳）电子商务有限公司	广东南油对外服务有限公司	-1798.89
杭州贝兴电子商务有限公司	申通快递有限公司	-39097.69
上海途远美宅置业顾问有限公司	合肥建工集团有限公司	277173.00
重庆德贵源酒业有限公司	酒圣科技股份有限公司	-160000.00
浙江中通文博服务有限公司	浙江中通文博服务有限公司	30000000.00
南京三胞品牌管理有限公司	三胞集团有限公司	200.00
北京双鑫京杭物流有限公司	申通快递有限公司	50000.00
佛山市华鸿铜管有限公司	佛山市华鸿铜管有限公司	-550000.00
武汉昊阳科技有限公司	深圳硕软技术有限公司	-10000.00
瓴里网络科技（上海）有限公司	闽侯县博飞信息科技有限公司	-166998.66
深圳海外装饰工程有限公司	深圳海外装饰工程有限公司	3000000.00
俊华科技发展（北京）有限公司	北京鼎瑞国际管理咨询有限公司	10000000.00
石家庄甘泉机械设备有限公司	东北特殊钢集团股份有限公司	-10000.00
深圳市新纶医疗有限公司	深圳市新纶科技股份有限公司	-348000.00
光大兴陇信托有限责任公司	丹东银行股份有限公司	100000000.00
陕西唯品会物流有限公司	广东南油对外服务有限公司	-7219.56
成都卓影科技股份有限公司	闽侯县博飞信息科技有限公司	-38000.00
共鸣众泰（天津）国际融资租赁有限公司	北京众鸣在线科技有限公司	-70000.00
深圳世联行集团股份有限公司	郑州世联兴业房地产咨询有限公司	800000.00
英诺激光科技股份有限公司	深圳市新纶科技股份有限公司	-243801.93
招商银行股份有限公司贵阳分行	深圳市新纶科技股份有限公司	-33000.00
拉卡拉信息科技（上海）有限公司	江苏千米网络科技股份有限公司	-19800.00
武汉地球空间信息产业投资有限公司	达明科技有限公司	-30500.00
苏州聚沙电子科技有限公司	江苏宏微科技股份有限公司	-11824.30
深圳市富荃机电设备工程有限公司	佛山市华鸿铜管有限公司	-6984.00
成都市邑申快递有限公司	申通快递有限公司	50000.00
南京科适医疗器械有限公司	南京创林企业管理有限公司	-9540.00
湖南红太阳光电科技有限公司	尚德太阳能电力有限公司	5100.00
招商银行股份有限公司唐山分行	深圳市新纶科技股份有限公司	-45000.00
北京容联七陌科技有限公司	浙江中通文博服务有限公司	15600.00
西安蓝月亮网络科技有限公司	江苏小旗欧飞科技有限公司	-20360.00
广州天艺网络信息有限公司	闽侯县博飞信息科技有限公司	-378892.75
深圳市锦铭科技有限公司	北京昊图科技有限公司	-60000.00
上海市对外服务浙江有限公司	广东南油对外服务有限公司	983306.32
上海鹰瞳医疗科技有限公司	爱康国宾健康体检管理集团有限公司	182400.00
西安中车永电电气有限公司	江苏宏微科技股份有限公司	308479.03
南宁优充科技有限公司	江苏小旗欧飞科技有限公司	-500.00
深圳市万璟商旅有限公司	广州美亚电子商务国际旅行社有限公司深圳分公司	4435.00
宜信普惠信息咨询（北京）有限公司	宜信普惠信息咨询（北京）有限公司上海世纪大道分公司	-8392.96
河南兴茂祥货物运输有限公司	申通快递有限公司	6000.00
北京雄利物流有限公司	申通快递有限公司	85000.00
用友薪福社云科技有限公司	河南文都教育科技有限公司	42150.00
上海中彦信息科技股份有限公司	江苏小旗欧飞科技有限公司	-200000.00
深圳市汇生活实业有限责任公司	深圳市年富供应链有限公司	326.00
中建电子商务有限责任公司	深圳海外装饰工程有限公司	1617.89
安徽冀美节能科技有限公司	安徽三建工程有限公司	-20000.00
成都释觉投资管理有限公司	纳什凯旋科技（北京）有限公司	16572.19
深圳市空港易行商旅服务有限公司	广州美亚电子商务国际旅行社有限公司深圳分公司	-500000.00
南通和信金属材料有限公司	东北特殊钢集团股份有限公司	-297000.00
西安嘉禾市政工程有限公司	陕西建工第三建设集团有限公司	-10000.00
江苏昌达石油化工有限公司	新大洋造船有限公司	75346.00
浙江薪福云信息科技有限公司	广东南油对外服务有限公司	-611278.51
东风汽车有限公司东风日产发动机分公司	深圳万城节能股份有限公司	-22968.45
软通动力技术服务有限公司	西安软通动力技术服务有限公司	-18000000.00
内蒙古丰晖信息技术有限公司	成都军通通信股份有限公司	37170.61
深圳市赢时通汽车服务有限公司	深圳市赢时通汽车服务有限公司	250000.00
易圣（中国）健康产业有限公司	浙江中通文博服务有限公司	-63868.00
郑州时空隧道信息技术有限公司	郑州时空隧道信息技术有限公司	31.23
海南启悦生活网络科技有限公司	深圳硕软技术有限公司	46000.00
陕西富吉商贸有限公司	世纪金花股份有限公司	18537.14
北京科密信息技术有限公司	纳什凯旋科技（北京）有限公司	4881.00
无锡市联云经贸有限公司	弘业期货股份有限公司	-1000000.00
北京京马商贸有限公司	北京希格玛物业管理有限责任公司	-3875.90
德清完美蓬程影视文化有限公司	河南晋安机械科技有限公司	-200000.00
西安西仲云法律咨询服务有限公司	陕西建工第三建设集团有限公司	600000.00
上海游昆信息技术有限公司	酒圣科技股份有限公司	-1448.29
武汉市隆懿安科技有限公司	达明科技有限公司	39600.00
杭州涂鸦信息技术有限公司	浙江中通文博服务有限公司	-31851.82
北京精锐管理咨询服务有限公司	闽侯县博飞信息科技有限公司	-42600.00
青岛龙泰舜泽置业有限公司	青岛龙湖置业拓展有限公司	4000000.00
哈药集团三精制药有限公司	哈尔滨市劳动和社会保障事务所有限公司	1510.60
深圳海外装饰工程有限公司天津分公司	深圳海外装饰工程有限公司	52000.00
成都市武侯区英之辅英语培训学校有限公司	诺亚正行基金销售有限公司基金代销专户	-1000000.00
成都市市政工程（集团）有限责任公司	成都市市政工程（集团）有限责任公司	-1000000.00
合肥龙申钢构活动房有限公司	合肥建工集团有限公司	60000.00
山西羽信科技有限公司	海南劲峰钱包信息技术有限公司	-19232.00
北京乐玩派文化传播有限公司	纳什凯旋科技（北京）有限公司	15000.00
深圳安易达商务汽车服务有限公司	广东南油对外服务有限公司	-6229.06
江西省凡盛企业管理有限公司	绿地集团成都申蓉房地产开发有限公司	8833.67
深圳市日鑫盛科技服务有限公司	深圳市三德冠精密电路科技有限公司	1000000.00
广联达西安科技有限公司	安徽三建工程有限公司	8000.00
杭州可莎蜜兒食品有限公司	浙江中通文博服务有限公司	912.60
武汉新城创置置业有限公司	武汉新城创置置业有限公司	-2900000.00
大连巨方机电科技开发有限公司	大连西太平洋石油化工有限公司	715500.00
北京大拇指京品供应链管理有限责任公司	申通快递有限公司	70000.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4496.91
佛山市百鸿房地产开发有限公司	佛山市华鸿铜管有限公司	-2000000.00
上海富友支付服务股份有限公司	江苏小旗欧飞科技有限公司	-100000.00
洛阳素玲快递服务有限公司	申通快递有限公司	-100000.00
北京双高志信人力资源有限公司	厦门市宇信鸿泰科技有限公司	966180.00
北京众合天下管理咨询有限公司	深圳市前海梧桐并购投资基金管理有限公司	24844.14
北京焦点互动信息服务有限公司	广东南油对外服务有限公司	-43747.12
深圳市美迪服装有限公司	世纪金花股份有限公司	132644.52
湖北众联至美会展科技有限公司	长江存储科技有限责任公司	1920.00
北京丰泽物流有限公司	申通快递有限公司	70000.00
江西百瑞慧外包服务有限公司	湖北长源房地产开发有限责任公司	22575.45
电通公共关系顾问（北京）有限公司	郑州顶益食品有限公司	89263.78
遵义市城投滨江房地产开发有限公司	四川东方雨虹防水工程有限公司	-314124.80
江苏省建工集团有限公司	江苏省建工集团有限公司	607000.00
开城智慧空间艺术设计（深圳）有限公司	深圳海外装饰工程有限公司	-30260.48
郑州顶津食品有限公司	河南世纪联华超市有限公司	-194320.00
广州市苗苗贸易有限公司	浙江朵宝网络科技有限公司	775.00
盐城冰点电子商务有限公司	江苏小旗欧飞科技有限公司	-100000.00
深圳市中旭企业管理股份有限公司	温州卓人汽车电控有限公司	8500.00
重庆绿涛新能源汽车有限公司	驿路星辰（北京）科技有限公司	-200.00
华税易兴（北京）税务师事务所有限公司	北京希格玛物业管理有限责任公司	-5460.80
杭州天狗科技有限公司	浙江嫲嫲团网络科技有限公司	17168.00
宁波上嘉弘昇物流有限公司	宁波上嘉弘昇物流有限公司武汉分公司	-489673.55
天津鑫宏远创建筑装饰工程有限公司武汉分公司	湖北长源房地产开发有限责任公司	3187426.74
成都顶益食品有限公司	郑州顶益食品有限公司	-11124.15
国网汇通金财（北京）信息科技有限公司	江苏小旗欧飞科技有限公司	50000.00
福建泓瑞泽供应链管理有限公司	浙商控股集团有限公司	15150852.72
本本教育科技（北京）有限公司	福建一滴水供应链管理有限公司	-58937.76
娄底市三网汇通电子商务有限公司	浙江朵宝网络科技有限公司	2283.00
上海复出劳务管理有限公司	上海复出劳务管理有限公司	100000.00
上海驿康企业管理有限公司	闽侯县博飞信息科技有限公司	-5756.14
广州易天芗林科技有限公司	广东南油对外服务有限公司	-80.00
南京昌亚智能科技有限公司	江苏小旗欧飞科技有限公司	-3238.62
第一太平戴维斯物业顾问（北京）有限公司佛山分公司	广东南油对外服务有限公司	-5327.88
浙江申通瑞丰快递有限公司	申通快递有限公司	524689.40
北京九州天际国际旅行社有限公司	广州美亚电子商务国际旅行社有限公司深圳分公司	9132.00
北京京东世纪信息技术有限公司	青岛龙湖置业拓展有限公司	3264.53
苏州市寅财信息技术有限公司	南京创林企业管理有限公司	22000.00
新海丰物流有限公司青岛分公司	上海沙首国际货运代理有限公司	114620.31
沈阳顶益食品有限公司	郑州顶益食品有限公司	-630857.41
苏州聚速通信息技术有限公司	江苏小旗欧飞科技有限公司	-100000.00
北京梦见星科技有限公司	成都市市政工程（集团）有限责任公司	3000.00
苏州信托有限公司	苏州信托有限公司	-16640.74
郑州每一天便利店服务有限公司	郑州顶益食品有限公司	-17484.28
同程网络科技股份有限公司	广州美亚电子商务国际旅行社有限公司深圳分公司	-200000.00
东莞市锦速货运代理有限公司	申通快递有限公司	400000.00
安徽天佑霖新型材料有限公司	安徽三建工程有限公司	100000.00
广州景泽网络科技有限公司	广东南油对外服务有限公司	-14749.20
沈阳圣城网络技术有限公司	深圳硕软技术有限公司	1000000.00
招商银行股份有限公司日照分行	深圳市新纶科技股份有限公司	-8490.00
沈阳博阳天翊人力资源服务有限公司	闽侯县博飞信息科技有限公司	-22266.03
深圳市敦实电子有限公司	东莞宇龙通信科技有限公司	201599.91
福州易普利斯供应链管理有限公司	申通快递有限公司	-194.93
四川聚融鑫建筑工程有限公司	四川东方雨虹防水工程有限公司	45700.00
深圳市创佶置业有限公司	江苏省建工集团有限公司	-7390245.00
上海米么信息科技有限公司	上海又米信息科技有限公司	-12485.00
上海悠捷商务咨询有限公司	广州美亚电子商务国际旅行社有限公司深圳分公司	-59720.00
合肥平硕医疗技术有限公司	安徽三建工程有限公司	-9000.00
深圳玛丝菲尔噢姆服饰有限公司	世纪金花股份有限公司	46685.86
深圳市云智易联科技有限公司	深圳硕软技术有限公司	-10000.00
江苏申通国际货运有限公司	申通快递有限公司	1515922.86
北京恒世伟业物流有限公司	申通快递有限公司	100000.00
哈尔滨优贤货运代理有限公司	申通快递有限公司	-1000.00
博天环境规划设计研究院（北京）有限公司	博天环境集团股份有限公司	37692.88
广州麦宝生物科技有限公司	广东南油对外服务有限公司	-8719.59
湖北长源房地产开发有限责任公司	湖北长源房地产开发有限责任公司	-30000000.00
北京云杉世界信息技术有限公司	申通快递有限公司	-75279.10
河南豫南科技有限公司	郑州顶益食品有限公司	60000.00
沈阳京东世纪贸易有限公司	大连三高集团有限公司	3864.00
广州市东山百货大楼股份有限公司	深圳市蓝地实业发展有限公司	-43347.21
乐家（中国）有限公司	广东南油对外服务有限公司	19280.64
国机财务有限责任公司	新大洋造船有限公司	6000000.00
山东水泥厂有限公司	山东水泥厂有限公司	-299000.00
证通股份有限公司	鲁证期货股份有限公司	58540.00
御兆龙晟电子商务（武汉）有限公司	郑州新东方培训学校	12040.00
宜信卓越财富投资管理（北京）有限公司	宜信卓越财富投资管理（北京）有限公司上海分公司	-932820.20
武汉顺衡速运有限公司	湖北精英盛华信息科技股份有限公司	2082.00
浙江开心果网络科技有限公司	杭州手拉手电子商务有限公司	300000.00
合肥华润三九医药有限公司	南阳医学高等专科学校第二附属医院	500000.00
黑龙江一秒凤凰装饰工程设计有限公司哈尔滨分公司	哈尔滨市劳动和社会保障事务所有限公司	11654.00
北京聚通物流有限公司	申通快递有限公司	20000.00
深圳市金万达贸易有限公司	深圳海外装饰工程有限公司	3400.00
上海飞乐音响股份有限公司	上海飞乐音响股份有限公司	-243917.70
陕西意特友服饰有限公司	陕西建工第三建设集团有限公司	10305.00
济南爱新卓尔医药有限公司	深圳市天道医药有限公司	-101354.40
科蒂商贸（上海）有限公司	世纪金花股份有限公司	22419.47
深圳市赢时通汽车服务有限公司温州分公司	深圳市赢时通汽车服务有限公司	-12605.80
陕西世联云通网络科技有限公司	郑州时空隧道信息技术有限公司	-15000.00
申通快递有限公司徐州中转站	申通快递有限公司	422955.99
第一太平戴维斯物业顾问（北京）有限公司成都分公司	江苏省建工集团有限公司	6102.87
北京众时科技有限公司	江苏小旗欧飞科技有限公司	-100000.00
青岛骥达企业管理咨询有限公司	青岛永运佳企业管理咨询有限公司	-6000.00
深圳基本半导体有限公司	江苏宏微科技股份有限公司	-34000.00
国开证券股份有限公司	上海复出劳务管理有限公司	-10250.00
招商银行股份有限公司沈阳分行	深圳市新纶科技股份有限公司	-47400.00
深圳市汇勤物业管理有限公司招商银行深圳分行大厦分公司	深圳市新纶科技股份有限公司	-3300.00
北京域盟信通科技有限公司	北京圣商教育科技股份有限公司	2356.00
上海外服（辽宁）人力资源服务有限公司	广东南油对外服务有限公司	155887.51
佛山市茂兴房地产开发有限公司	深圳海外装饰工程有限公司	-187464.34
广发期货有限公司	长航凤凰股份有限公司	100.00
北京龙博物流有限公司	申通快递有限公司	140000.00
辽宁智邦管理顾问有限公司	闽侯县博飞信息科技有限公司	-51120.00
沃通电子认证服务有限公司	郑州市景安网络科技股份有限公司	20000.00
北京四十二章经科技有限公司	闽侯县博飞信息科技有限公司	-11556.00
淮北市申通快递有限公司	申通快递有限公司	-8000.00
广州轻快科技有限公司	广州水熊科技有限公司	20000.00
上海千熠信息科技有限公司	浙江中通文博服务有限公司	-67824.04
南京迈特望科技股份有限公司	南京迈特望科技股份有限公司	-24000.00
广州市天城房产开发有限公司希尔顿逸林酒店分公司	广东南油对外服务有限公司	64690.00
江苏海隆软件技术有限公司	南京迈特望科技股份有限公司	-86150.00
深圳市稳速网络科技有限公司	深圳市稳速网络科技有限公司	-20000.00
深圳市蚂蚁零兽科技有限公司	郑州顶益食品有限公司	-7252.00
武汉万美柯机电阀门有限公司	达明科技有限公司	3978.00
上海日邮汽车运输有限公司	上海日邮汽车运输有限公司	-20.00
五八同城信息技术有限公司	郑州时空隧道信息技术有限公司	6300.00
招商银行股份有限公司银川分行	深圳市新纶科技股份有限公司	-810.00
苏州创客邦孵化管理有限公司	武汉邦智孵化管理有限公司	-457.12
北京京盛达物流有限公司	申通快递有限公司	90000.00
上海外服（天津）人力资源有限公司	广东南油对外服务有限公司	-125011.68
北京首信融合科技有限公司	上海宜信企鑫商业保理有限公司	-10000000.00
昌硕科技（上海）有限公司	昌硕科技（上海）有限公司	271178.41
广州市房裕尊享信息技术有限公司	闽侯县博飞信息科技有限公司	-14910.00
天津市利顺盛鑫商贸有限公司	安徽三建工程有限公司	280000.00
北京易约科技有限责任公司	江苏小旗欧飞科技有限公司	-10000.00
北京满箱油科技发展有限公司	江苏小旗欧飞科技有限公司	400000.00
北京众鸣在线科技有限公司武汉第二分公司	北京众鸣在线科技有限公司	300.00
哈尔滨航一发商贸有限公司	临沂利方塑胶制品有限公司	-51000.00
北京百闻科技有限公司	北京希格玛物业管理有限责任公司	-131.75
赣州合建建筑工程有限公司	合肥建工集团有限公司	9000000.00
江苏泰昆信息服务有限公司	浙江中通文博服务有限公司	-22614.20
青岛龙凯置业有限公司	青岛龙湖置业拓展有限公司	300000.00
厦门市宇信鸿泰科技有限公司	厦门市宇信鸿泰科技有限公司	700000.00
上海威怡广告有限公司	福建一滴水供应链管理有限公司	-5542.60
广州拓普医疗科技有限公司	广东南油对外服务有限公司	-60.00
北京众鸣在线科技有限公司沈阳分公司	北京众鸣在线科技有限公司	100.00
招商银行股份有限公司无锡分行	深圳市新纶科技股份有限公司	-750.00
青岛车尊客汽车租赁有限公司	深圳市赢时通汽车服务有限公司	200.00
西安顶益食品有限公司	郑州顶益食品有限公司	-233193.57
北京禾胜技术服务有限公司	厦门市宇信鸿泰科技有限公司	311935.38
上海本来生活信息科技有限公司	浙江中通文博服务有限公司	1000.00
北京灵智精锐整合营销顾问有限公司	闽侯县博飞信息科技有限公司	-93945.14
江苏锁安科技有限公司	南京迈特望科技股份有限公司	100000.00
天津市卓信朗天企业管理咨询有限公司	闽侯县博飞信息科技有限公司	-231308.41
内蒙古亿升物流有限公司	申通快递有限公司	-4500.00
新乡力电新能科技人才外包服务有限公司	闽侯县博飞信息科技有限公司	-600000.00
北京欣妍文化传媒有限公司	杭州联络互动信息科技股份有限公司	32800.00
北京阳光印易科技有限公司	湖北长源房地产开发有限责任公司	3460.00
实践家管理咨询（上海）有限公司深圳分公司	实践家管理咨询（上海）有限公司	3570.60
合肥联东金冠实业有限公司	安徽四建控股集团有限公司	-398000.00
宇瑞（上海）化学有限公司	深圳市新纶科技股份有限公司	900.00
沈阳新亿达商贸有限公司	申通快递有限公司	100000.00
成都大成融创建筑材料有限公司	四川东方雨虹防水工程有限公司	-100000.00
上海自创实业有限公司	鲁证期货股份有限公司	-20000.00
北京申逾通达物流有限公司	申通快递有限公司	20000.00
西安佳帮手商业管理有限公司	申通快递有限公司	-645337.47
上海找钢网信息科技股份有限公司	深圳市联建光电股份有限公司	-30000.00
深圳市赢时通汽车服务有限公司西安分公司	深圳市赢时通汽车服务有限公司	45.00
申通快递有限公司泰州中转站	申通快递有限公司	223714.82
北京彩虹乐享信息技术有限公司上海分公司	上海奔越广告有限公司	12500.00
北京洁源新能投资有限公司	陕西建工基础工程集团有限公司	380000.00
深圳集智数字科技有限公司	深圳市联建光电股份有限公司	-9206.40
