Cust_Chn_Nm	UNT_NAM	Trx_Amt
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-298.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1389.64
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-64988.74
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-1452.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2353.40
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	343311.76
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	177140.83
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	7445.69
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	338560.93
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	392205.88
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	3639.94
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-8646.02
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-14955.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	993.90
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-457.61
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-13150.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4167.52
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3356.10
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-3970.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	393.63
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	361793.90
世纪文都教育科技集团股份有限公司	河南文都教育科技有限公司	-35596.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1097.17
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12923.79
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	677.06
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-624000.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	4897.57
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-302970.86
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1947.51
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-6537805.47
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	3039.49
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	500.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	283.08
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3499.61
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	58.79
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	980.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	571.22
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-41601.16
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1273.98
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	21825179.54
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	17990.57
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-19700.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	22.10
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-339053.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	1373.35
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	21193.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	2337.07
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-20000.00
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	948.42
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-52904.99
武汉京东世纪贸易有限公司	长江存储科技有限责任公司	3653.59
