UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
合肥丰之沈建筑工程有限公司	 	 	 	 	BLK	 	合肥	 	?	BLKS	2020/10/27	551	Y	洗钱
威海创昆商务管理有限公司	 	 	 	 	BLK	 	烟台	 	?	BLKS	2020/10/27	631	Y	洗钱
亚洲通讯设备有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	295	Y	洗钱
扬州双军电子科技有限公司	 	 	 	 	BLK	 	扬州	 	?	BLKS	2020/10/27	613	Y	洗钱
上海传齐网络科技有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
北京十星宝电子商务有限公司中山分公司	 	 	 	 	BLK	 	中山	 	?	BLKS	2020/10/27	760	Y	洗钱
深圳市火柴财富管理有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
宜信普惠信息咨询（北京）有限公司鄂尔多斯市分公司	 	 	 	 	BLK	 	鄂尔多斯	 	?	BLKS	2020/10/27	477	Y	洗钱
BAISHIDA INDUSTRY LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
慈溪耕耘金属制品有限公司	 	 	 	 	BLK	 	宁波	 	?	BLKS	2020/10/27	574	Y	洗钱
北京美环凯智科技有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
四川东方雨虹防水工程有限公司	?	?	?	?	BLK	?	成都	?	?	BLKM	2020/7/17	128	Y	代发集中中断
云南途易农业发展有限公司	 	 	 	 	BLK	 	昆明	 	?	BLKS	2020/7/17	871	Y	洗钱
晋江市东石镇三益百货商行	 	 	 	 	BLK	 	泉州	 	?	BLKS	2020/10/27	595	Y	洗钱
上海锐阜投资管理有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
西安雅钊铭水电安装有限公司	 	 	 	 	BLK	 	西安	 	?	BLKS	2020/10/27	129	Y	洗钱
成都瑞道信息技术有限公司	 	 	 	 	BLK	 	成都	 	?	BLKS	2020/10/27	128	Y	洗钱
TREASURY FINANCE CORPORATION LIMITED	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/7/17	121	Y	洗钱
福州盟岳居建材有限公司	 	 	 	 	BLK	 	福州	 	?	BLKS	2020/10/27	591	Y	洗钱
沈阳佰丰房产经纪有限公司	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
广州纳弘企业管理咨询有限公司	?	?	?	?	BLK	广东	广州	?	CMG	BLKM	2020/3/23	120	QZ	养公积金
深圳市风华极讯网络科技有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
沈阳市远清祥建材经销处	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
RGB SYSSTEMS INC	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
宁德蓝网网络科技有限公司	 	 	 	 	BLK	 	宁德	 	?	BLKS	2020/10/27	589	Y	洗钱
浙江兆云昊源乾教育信息咨询有限公司	 	 	 	 	BLK	 	杭州	 	?	BLKS	2020/10/27	571	Y	洗钱
CHENGJIA TRADING LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	215	Y	洗钱
投米科技发展（北京）有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
贵州京源瑞平电子商务有限公司	 	 	 	 	BLK	 	贵阳	 	?	BLKS	2020/10/27	851	Y	洗钱
宜信普惠信息咨询（北京）有限公司无锡第二分公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	510	Y	洗钱
南阳市小豆实业有限公司	 	 	 	 	BLK	 	南阳	 	?	BLKS	2020/10/27	377	Y	洗钱
深圳市福米实业有限公司	?	?	?	?	BLK	广东	深圳	?	CMG	BLKM	2020/3/23	755	QZ	养公积金
鹏鑫有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	292	Y	洗钱
诸城市淑龙建材有限公司	 	 	 	 	BLK	 	潍坊	 	?	BLKS	2020/10/27	536	Y	洗钱
扬州鲜天下精品果业有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	514	Y	洗钱
青岛跨境达供应链有限公司	 	 	 	 	BLK	 	青岛	 	?	BLKS	2020/10/27	532	Y	洗钱
青岛墨莲网络科技有限责任公司	 	 	 	 	BLK	 	青岛	 	?	BLKS	2020/10/27	532	Y	洗钱
深圳市顺神平实业有限公司	 	 	 	 	BLK	 	深圳	 	?	BLKS	2020/10/27	755	Y	洗钱
北京合旺顺通商贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
南昌市越超贸易有限公司	 	 	 	 	BLK	 	南昌	 	?	BLKS	2020/10/27	791	Y	洗钱
六安市奇迹商贸有限公司	 	 	 	 	BLK	 	六安	 	?	BLKS	2020/10/27	564	Y	洗钱
武汉乐富天华科技有限公司	 	 	 	 	BLK	 	武汉	 	?	BLKS	2020/10/27	127	Y	洗钱
中山奥米多服饰有限公司	 	 	 	 	BLK	 	中山	 	VIP	BLKS	2020/10/27	760	Y	洗钱
慧龙贸易有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	215	Y	洗钱
长沙鑫捷运贸易有限公司	 	 	 	 	BLK	 	长沙	 	?	BLKS	2020/10/27	731	Y	洗钱
西安市长安区长泰昇建筑劳务工程有限公司	 	 	 	 	BLK	 	西安	 	?	BLKS	2020/10/27	129	Y	洗钱
海南政泰实业有限公司	 	 	 	 	BLK	 	海口	 	?	BLKS	2020/7/17	898	Y	洗钱
上海昊到物流有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
灵禄金融信息服务（上海）有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
合肥水铭澜商贸有限公司	 	 	 	 	BLK	 	合肥	 	?	BLKS	2020/10/27	551	Y	洗钱
北京时代鑫达科技有限公司	 	 	 	 	BLK	 	北京	 	?	BLKS	2020/10/27	110	Y	洗钱
河南三道商贸有限公司	 	 	 	 	BLK	 	郑州	 	?	BLKS	2020/10/27	371	Y	洗钱
上海腾达国际物流有限公司	 	 	 	 	BLK	 	上海	 	?	BLKS	2020/10/27	121	Y	洗钱
香港景丰海洋工程设备有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	211	Y	洗钱
厦门德安润联晟商贸有限公司	 	 	 	 	BLK	 	厦门	 	?	BLKS	2020/10/27	592	Y	洗钱
北京博宇宏润汽车商贸有限公司	 	 	 	 	BLK	 	北京通州	 	?	BLKS	2020/10/27	110	Y	洗钱
宜信博诚保险销售服务（北京）股份有限公司山西分公司	 	 	 	 	BLK	 	太原	 	?	BLKS	2020/7/17	351	Y	洗钱
